id,name,category,value,timestamp
1,Product A,Electronics,299.99,2024-01-15 10:30:00
2,Product B,Clothing,49.99,2024-01-15 11:45:00
3,Product C,Electronics,799.99,2024-01-16 09:20:00
4,Product D,Home,129.99,2024-01-16 14:30:00
5,Product E,Clothing,79.99,2024-01-17 08:15:00
6,Product F,Electronics,399.99,2024-01-17 16:45:00
7,Product G,Books,24.99,2024-01-18 10:00:00
8,Product H,Home,199.99,2024-01-18 13:30:00
9,Product I,Clothing,59.99,2024-01-19 11:20:00
10,Product J,Electronics,1299.99,2024-01-19 15:45:00
